"","Population","Rep","Time","Alive","Dead","Survival"
"1","Brunswick",1,"72h",6,9,0.4
"2","Brunswick",2,"72h",6,9,0.4
"3","Brunswick",3,"72h",5,10,0.333333333333333
"4","Brunswick",4,"72h",7,8,0.466666666666667
"5","Brunswick",5,"72h",6,9,0.4
"6","Brunswick",6,"72h",8,7,0.533333333333333
"7","Brunswick",7,"72h",7,8,0.466666666666667
"8","Brunswick",8,"72h",6,9,0.4
"9","Brunswick",9,"72h",8,7,0.533333333333333
"10","Brunswick",10,"72h",9,6,0.6
"11","Brunswick",11,"72h",8,7,0.533333333333333
"12","Brunswick",12,"72h",7,8,0.466666666666667
"13","Carlton",1,"72h",1,14,0.0666666666666667
"14","Carlton",2,"72h",3,12,0.2
"15","Carlton",3,"72h",3,12,0.2
"16","Carlton",4,"72h",2,13,0.133333333333333
"17","Carlton",5,"72h",9,1,0.9
"18","Carlton",6,"72h",1,14,0.0666666666666667
"19","Carlton",7,"72h",3,12,0.2
"20","Carlton",8,"72h",3,12,0.2
"21","Carlton",9,"72h",8,1,0.888888888888889
"22","Carlton",10,"72h",3,12,0.2
"23","Carlton",11,"72h",2,13,0.133333333333333
"24","Carlton",12,"72h",3,12,0.2
"25","Coburg",1,"72h",2,13,0.133333333333333
"26","Coburg",2,"72h",8,7,0.533333333333333
"27","Coburg",3,"72h",3,12,0.2
"28","Coburg",4,"72h",6,9,0.4
"29","Coburg",5,"72h",2,9,0.181818181818182
"30","Coburg",6,"72h",5,10,0.333333333333333
"31","Coburg",7,"72h",3,10,0.230769230769231
"32","Coburg",8,"72h",7,19,0.269230769230769
"33","Coburg",9,"72h",6,9,0.4
"34","Coburg",10,"72h",4,11,0.266666666666667
"35","Coburg",11,"72h",4,11,0.266666666666667
"36","Coburg",12,"72h",4,11,0.266666666666667
"37","Northcote",1,"72h",2,20,0.0909090909090909
"38","Northcote",2,"72h",1,13,0.0714285714285714
"39","Northcote",3,"72h",1,13,0.0714285714285714
"40","Northcote",4,"72h",1,13,0.0714285714285714
"41","Northcote",5,"72h",1,14,0.0666666666666667
"42","Northcote",6,"72h",1,13,0.0714285714285714
"43","Northcote",7,"72h",1,14,0.0666666666666667
"44","Northcote",8,"72h",1,30,0.032258064516129
"45","Northcote",9,"72h",1,14,0.0666666666666667
"46","Northcote",10,"72h",1,14,0.0666666666666667
"47","Northcote",11,"72h",1,14,0.0666666666666667
"48","Northcote",12,"72h",0,15,0
